variable,stage,state_type,defined_by_formula_id,source_v4_line,observable,notes
"h_froth_{s,c}",flotation,derived,V5_0394,1568,no,
h_ss,flotation,derived,V5_0395,868,no,
"h_ss_{s,c}",flotation,derived,V5_0396,1567,no,
header_resistance,flotation,derived,V5_0397,1541,no,
hydrophobic_load,flotation,derived,V5_0398,832,no,
"hydrophobic_load_{s,c}",flotation,derived,V5_0399,1534,no,
hydrophobic_potential,global,derived,V5_0400,250,no,
inst_circ_load,tower_mill,derived,V5_0401,1356,no,
k_float_carb,flotation,derived,V5_0402,933,no,
"k_float_carb_{s,c}",flotation,derived,V5_0403,1604,no,
k_float_fe_hem,flotation,derived,V5_0404,935,no,
"k_float_fe_hem_{s,c}",flotation,derived,V5_0405,1606,no,
k_float_fe_mag,flotation,derived,V5_0406,934,no,
"k_float_fe_mag_{s,c}",flotation,derived,V5_0407,1605,no,
k_float_gangue,flotation,derived,V5_0408,931,no,
"k_float_gangue_{s,c}",flotation,derived,V5_0409,1602,no,
k_float_sil,flotation,derived,V5_0410,932,no,
"k_float_sil_{s,c}",flotation,derived,V5_0411,1603,no,
lab_sample,lab,derived,V5_0412,1038,no,
lab_var,lab,derived,V5_0413,1041,no,
lab_{i}_eryi_f200,boundary,derived,V5_0414,433,no,
lab_{i}_eryi_tfe,boundary,derived,V5_0415,432,no,
lip_clearance,flotation,derived,V5_0416,937,no,
"lip_clearance_{s,c}",flotation,derived,V5_0417,1587,no,
magnetic_difficulty,magnetic,derived,V5_0418,1207,no,
matrix_clog,magnetic,derived,V5_0419,1233,no,
"mixer_power_{s,k}",flotation,derived,V5_0420,1652,no,
mu_feed,tower_mill,derived,V5_0421,1309,no,
mu_slurry,global,derived,V5_0422,207,no,
mu_under,flotation,derived,V5_0423,730,no,
mu_under_s,flotation,derived,V5_0424,1459,no,
oil_cooling_flow,tower_mill,derived,V5_0425,1390,no,
oil_flow,tower_mill,derived,V5_0426,1387,no,
online_froth_proxy,dcs,derived,V5_0427,1186,no,
online_load_proxy,dcs,derived,V5_0428,1185,no,
overflow_j,tower_mill,derived,V5_0429,600,no,
pH,flotation,derived,V5_0430,815,no,
pH_s,flotation,derived,V5_0431,1528,no,
pH_sp,flotation,setpoint,V5_0432,802,no,
pH_sp_s,flotation,derived,V5_0433,1520,no,
pH_ss,flotation,derived,V5_0434,814,no,
pH_ss_s,flotation,derived,V5_0435,1527,no,
quality_proxy_s,flotation,derived,V5_0436,1471,no,
"reagent_heat_load_{s,k}",flotation,derived,V5_0437,1650,no,
"reagent_viscosity_{s,j}",flotation,derived,V5_0438,1647,no,
report_time,lab,derived,V5_0439,1039,no,
rho_feed,tower_mill,derived,V5_0440,1308,no,
rho_overflow,tower_mill,derived,V5_0441,1340,no,
rho_slurry,global,derived,V5_0442,201,no,
rho_solid_mix,global,derived,V5_0443,185,no,
rho_solid_mix_i,boundary,derived,V5_0444,348,no,
rho_solid_mix_mixed,boundary,derived,V5_0445,398,no,
rho_tm_overflow,tower_mill,derived,V5_0446,1342,no,
rho_under,flotation,derived,V5_0447,728,no,
rho_under_s,flotation,derived,V5_0448,1457,no,
rougher_feed,flotation,derived,V5_0449,957,no,
sand_j,tower_mill,derived,V5_0450,601,no,
scraper_speed,flotation,derived,V5_0451,854,no,
"scraper_speed_{s,c}",flotation,derived,V5_0452,1563,no,
selectivity_proxy,flotation,derived,V5_0453,756,no,
specific_gravity,magnetic,derived,V5_0454,1249,no,
split_s1_meter1,flotation,derived,V5_0455,1627,no,
split_s1_total,flotation,derived,V5_0456,1624,no,
split_s2_meter1,flotation,derived,V5_0457,1628,no,
split_tail_1,magnetic,derived,V5_0458,1244,no,
sum_cell_power_s1,flotation,derived,V5_0459,1664,no,
sum_cell_power_s2,flotation,derived,V5_0460,1665,no,
sum_drug_power_s1,flotation,derived,V5_0461,1668,no,
sum_drug_power_s2,flotation,derived,V5_0462,1669,no,
sum_pool_power_s1,flotation,derived,V5_0463,1666,no,
sum_pool_power_s2,flotation,derived,V5_0464,1667,no,
tail_j,magnetic,derived,V5_0465,535,no,
tail_j_rate,flotation,derived,V5_0466,946,no,
"tail_j_rate_{s,c}",flotation,derived,V5_0467,1613,no,
"tail_j_{s,c}",flotation,derived,V5_0468,1617,no,
tail_or_conc_j,flotation,derived,V5_0469,951,no,
tau_cyc_pool,tower_mill,derived,V5_0470,1290,no,
tau_stage_h,flotation,derived,V5_0471,894,no,
"tau_stage_h_{s,c}",flotation,derived,V5_0472,1586,no,
u_actual,global,derived,V5_0473,290,no,
u_blowdown_phys,magnetic,physical_signal,V5_0474,1254,no,
u_bv,flotation,derived,V5_0475,847,no,
"u_bv_sp_{s,c}",flotation,derived,V5_0476,1555,no,
"u_bv_{s,c}",flotation,derived,V5_0477,1556,no,
u_flush,magnetic,derived,V5_0478,1261,no,
u_flush_sp,magnetic,setpoint,V5_0479,1256,no,
u_lv_fb,flotation,derived,V5_0480,891,no,
"u_lv_fb_{s,c}",flotation,derived,V5_0481,1583,no,
u_lv_sp,flotation,setpoint,V5_0482,890,no,
"u_lv_sp_{s,c}",flotation,derived,V5_0483,1582,no,
